"county_id","county_name","district_id","district_name","line_no","account","line_desc","amount_1","amount_2","amount_3"
01,"Atlantic",0110,"Atlantic City",807,"'20-4542","Arp ESSER Subgrant-Evidence-Based Summer Learning and Enrichment Activities Grant",51277.00,51277.00,0.00
01,"Atlantic",0110,"Atlantic City",809,"'20-4544","Arp ESSER Subgrant-New Jersey Tiered System of Supports (Njtss) Mental Health Support Staffing Gra",0.00,391216.00,0.00
01,"Atlantic",0110,"Atlantic City",810,"'20-4430","Vocational Education",73786.00,89873.00,76392.00
01,"Atlantic",0110,"Atlantic City",814,"'20-4540","Arp-ESSER",27812301.00,8583816.00,0.00
01,"Atlantic",0110,"Atlantic City",823,"'20-4534","CRRSA Act-ESSER II",3885773.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",824,"'20-4535","CRRSA Act-Learning Acceleration Grant",877022.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",825,"'20-4XXX","Other",378111.00,13355.00,0.00
01,"Atlantic",0110,"Atlantic City",830,"'","Total Revenues from Federal Sources",42233171.00,23162464.00,8940329.00
01,"Atlantic",0110,"Atlantic City",836,"'20-5200","Transfers from Operating Budget-Pre-Kindergartenindergartenindergartenindergartenindergartenindergar",0.00,377875.00,566880.00
01,"Atlantic",0110,"Atlantic City",837,"'","Actual Revenues (Over)/Under Expenditures-Student Activity Fund",36698.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",838,"'","Actual Revenues (Over)/Under Expenditures-Scholarship Fund",-363.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",840,"'","Total Grants and Entitlements",49695907.00,33999641.00,18952783.00
01,"Atlantic",0110,"Atlantic City",860,"'40-1210","Local Tax Levy",4077814.00,4584289.00,4573975.00
01,"Atlantic",0110,"Atlantic City",885,"'","Total Revenues from Local Sources",4077814.00,4584289.00,4573975.00
01,"Atlantic",0110,"Atlantic City",890,"'40-3160","Debt Service Aid Type II",438116.00,436140.00,434982.00
01,"Atlantic",0110,"Atlantic City",895,"'","Total Local Repayment of Debt",4515930.00,5020429.00,5008957.00
01,"Atlantic",0110,"Atlantic City",930,"'","Actual Revenues (Over)/Under Expenditures",520761.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",935,"'","Total Repayment of Debt",5036691.00,5020429.00,5008957.00
01,"Atlantic",0110,"Atlantic City",1000,"'","Total Revenues/Sources",214031015.00,313386829.00,313954581.00
01,"Atlantic",0110,"Atlantic City",1002,"'20-5200","Deduct Transfer-Transfers from Operating Budget-Pre-Kindergartenindergartenindergartenindergartenind",0.00,377875.00,566880.00
01,"Atlantic",0110,"Atlantic City",1010,"'","Total Revenues/Sources Net of Transfers",214031015.00,313008954.00,313387701.00
01,"Atlantic",0120,"Atlantic Co Vocational",110,"'10-1210","County Tax Levy-Base Budget",4059626.00,4059626.00,4059626.00
01,"Atlantic",0120,"Atlantic Co Vocational",114,"'10-121x","Total Tax Levy",0,4059626.00,4059626.00
01,"Atlantic",0120,"Atlantic Co Vocational",200,"'10-1310","Tuition from Local Education Authorities",5507840.00,4267125.00,7553034.00
01,"Atlantic",0120,"Atlantic Co Vocational",210,"'10-1310","Prior Year Tuition Adjustment from Local Education Authorities",406181.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",220,"'10-1320-1340","Other Tuition",149620.00,225000.00,190000.00
01,"Atlantic",0120,"Atlantic Co Vocational",260,"'10-1910","Rents and Royalties",13701.00,8000.00,8000.00
01,"Atlantic",0120,"Atlantic Co Vocational",300,"'10-1XXX","Unrestricted Miscellaneous Revenues",409154.00,200000.00,340000.00
01,"Atlantic",0120,"Atlantic Co Vocational",330,"'10-1XXX","Interest Earned on Maintenance Reserve",0.00,125.00,125.00
01,"Atlantic",0120,"Atlantic Co Vocational",340,"'10-1XXX","Interest Earned on Capital Reserve Funds",0.00,450.00,450.00
01,"Atlantic",0120,"Atlantic Co Vocational",350,"'10-1XXX","Other Restricted Miscellaneous Revenues / Paycheck Protection Program (Apssds Only)",73038.00,17500.00,16000.00
01,"Atlantic",0120,"Atlantic Co Vocational",370,"'","Total Revenues from Local Sources",10619160.00,8777826.00,12167235.00
01,"Atlantic",0120,"Atlantic Co Vocational",440,"'10-3132","Categorical Special Education Aid",1417691.00,2091403.00,1290371.00
01,"Atlantic",0120,"Atlantic Co Vocational",460,"'10-3176","Equalization Aid",19988283.00,19988283.00,20066244.00
01,"Atlantic",0120,"Atlantic Co Vocational",470,"'10-3177","Categorical Security Aid",601522.00,734026.00,772686.00
01,"Atlantic",0120,"Atlantic Co Vocational",520,"'","Total Revenues from State Sources",22007496.00,22813712.00,22129301.00
01,"Atlantic",0120,"Atlantic Co Vocational",540,"'10-4200","Medicaid Reimbursement",0.00,15905.00,293.00
01,"Atlantic",0120,"Atlantic Co Vocational",541,"'10-4210","Ffcra/SEMI and ARRA/SEMI Revenue",20735.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",570,"'","Total Revenues from Federal Sources",20735.00,15905.00,293.00
01,"Atlantic",0120,"Atlantic Co Vocational",580,"'10-303","Budgeted Fund Balance-Operating Budget",0.00,2371781.00,3035063.00
01,"Atlantic",0120,"Atlantic Co Vocational",620,"'10-309","Withdrawal from Capital Reserve for Excess Cost and Other Capital Projects",0.00,2500000.00,2500000.00
01,"Atlantic",0120,"Atlantic Co Vocational",630,"'10-310","Withdrawal from Maintenance Reserve",0.00,600000.00,600000.00
01,"Atlantic",0120,"Atlantic Co Vocational",710,"'","Adjustment for Prior Year Encumbrances",0.00,222301.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",715,"'","Actual Revenues (Over)/Under Expenditures",-324252.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",720,"'","Total Operating Budget",32323139.00,37301525.00,40431892.00
01,"Atlantic",0120,"Atlantic Co Vocational",737,"'20-1760","Student Activity Fund Revenue",437495.00,140000.00,140000.00
01,"Atlantic",0120,"Atlantic Co Vocational",738,"'20-1770","Scholarship Fund Revenue",1735.00,1000.00,1000.00
01,"Atlantic",0120,"Atlantic Co Vocational",740,"'20-1XXX","Other Revenue from Local Sources",78032.00,86799.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",745,"'20-1XXX","Total Revenues from Local Sources",517262.00,227799.00,141000.00
01,"Atlantic",0120,"Atlantic Co Vocational",761,"'20-3257","Sda Emergent Needs and Capital Maintenance In School Districts",0.00,47810.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",765,"'20-32XX","Other Restricted Entitlements",151657.00,94699.00,71025.00
01,"Atlantic",0120,"Atlantic Co Vocational",770,"'","Total Revenues from State Sources",151657.00,142509.00,71025.00
01,"Atlantic",0120,"Atlantic Co Vocational",775,"'20-4411-4416","Title I",922350.00,928654.00,696490.00
01,"Atlantic",0120,"Atlantic Co Vocational",780,"'20-4451-4455","Title II",55840.00,42058.00,31544.00
01,"Atlantic",0120,"Atlantic Co Vocational",805,"'20-4420-4429","I.D.E.A. Part B (Handicapped)",364801.00,366190.00,274642.00
01,"Atlantic",0120,"Atlantic Co Vocational",806,"'20-4541","Arp ESSER Subgrant-Accelerated Learning Coaching and Educator Support Grant",9084.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",807,"'20-4542","Arp ESSER Subgrant-Evidence-Based Summer Learning and Enrichment Activities Grant",16437.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",808,"'20-4543","Arp ESSER Subgrant-Evidence-Based Comprehensive Beyond the School Day Activities Grant",439.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",810,"'20-4430","Vocational Education",349315.00,341929.00,256447.00
01,"Atlantic",0120,"Atlantic Co Vocational",814,"'20-4540","Arp-ESSER",2773507.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",824,"'20-4535","CRRSA Act-Learning Acceleration Grant",1884.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",830,"'","Total Revenues from Federal Sources",4493657.00,1678831.00,1259123.00
01,"Atlantic",0120,"Atlantic Co Vocational",837,"'","Actual Revenues (Over)/Under Expenditures-Student Activity Fund",-37207.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",838,"'","Actual Revenues (Over)/Under Expenditures-Scholarship Fund",-1135.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",840,"'","Total Grants and Entitlements",5124234.00,2049139.00,1471148.00
01,"Atlantic",0120,"Atlantic Co Vocational",1000,"'","Total Revenues/Sources",37447373.00,39350664.00,41903040.00
01,"Atlantic",0120,"Atlantic Co Vocational",1010,"'","Total Revenues/Sources Net of Transfers",37447373.00,39350664.00,41903040.00
01,"Atlantic",0125,"Atlantic Co Special Serv",110,"'10-1210","County Tax Levy-Base Budget",2070597.00,2070597.00,2070597.00
01,"Atlantic",0125,"Atlantic Co Special Serv",114,"'10-121x","Total Tax Levy",0,2070597.00,2070597.00
01,"Atlantic",0125,"Atlantic Co Special Serv",200,"'10-1310","Tuition from Local Education Authorities",14343205.00,11965068.00,14028663.00
01,"Atlantic",0125,"Atlantic Co Special Serv",210,"'10-1310","Prior Year Tuition Adjustment from Local Education Authorities",-459920.00,0.00,0.00
01,"Atlantic",0125,"Atlantic Co Special Serv",220,"'10-1320-1340","Other Tuition",837241.00,500000.00,907500.00
01,"Atlantic",0125,"Atlantic Co Special Serv",230,"'10-1350","Non-Resident Fees",0.00,237500.00,456000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",260,"'10-1910","Rents and Royalties",31740.00,72640.00,75000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",300,"'10-1XXX","Unrestricted Miscellaneous Revenues",289405.00,280000.00,75000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",330,"'10-1XXX","Interest Earned on Maintenance Reserve",100.00,100.00,100.00
01,"Atlantic",0125,"Atlantic Co Special Serv",340,"'10-1XXX","Interest Earned on Capital Reserve Funds",200.00,200.00,200.00
01,"Atlantic",0125,"Atlantic Co Special Serv",350,"'10-1XXX","Other Restricted Miscellaneous Revenues / Paycheck Protection Program (Apssds Only)",111389.00,50000.00,50000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",370,"'","Total Revenues from Local Sources",17223957.00,15176105.00,17663060.00
01,"Atlantic",0125,"Atlantic Co Special Serv",540,"'10-4200","Medicaid Reimbursement",154530.00,0.00,0.00
01,"Atlantic",0125,"Atlantic Co Special Serv",570,"'","Total Revenues from Federal Sources",154530.00,0.00,0.00
01,"Atlantic",0125,"Atlantic Co Special Serv",580,"'10-303","Budgeted Fund Balance-Operating Budget",0.00,1060000.00,360000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",600,"'10-307","Withdrawal from Capital Reserve for Local Share",0.00,750000.00,990000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",630,"'10-310","Withdrawal from Maintenance Reserve",0.00,400000.00,100000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",710,"'","Adjustment for Prior Year Encumbrances",0.00,280688.00,0.00
01,"Atlantic",0125,"Atlantic Co Special Serv",715,"'","Actual Revenues (Over)/Under Expenditures",-691250.00,0.00,0.00
01,"Atlantic",0125,"Atlantic Co Special Serv",720,"'","Total Operating Budget",16687237.00,17666793.00,19113060.00
01,"Atlantic",0125,"Atlantic Co Special Serv",737,"'20-1760","Student Activity Fund Revenue",9281.00,5000.00,5000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",740,"'20-1XXX","Other Revenue from Local Sources",40520.00,45000.00,23000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",745,"'20-1XXX","Total Revenues from Local Sources",49801.00,50000.00,28000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",765,"'20-32XX","Other Restricted Entitlements",7389.00,7121.00,0.00
01,"Atlantic",0125,"Atlantic Co Special Serv",770,"'","Total Revenues from State Sources",7389.00,7121.00,0.00
01,"Atlantic",0125,"Atlantic Co Special Serv",800,"'20-4417-4418","Title Vi",0.00,53161.00,0.00
01,"Atlantic",0125,"Atlantic Co Special Serv",814,"'20-4540","Arp-ESSER",144334.00,0.00,0.00
01,"Atlantic",0125,"Atlantic Co Special Serv",825,"'20-4XXX","Other",38.00,51000.00,31000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",830,"'","Total Revenues from Federal Sources",144372.00,104161.00,31000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",837,"'","Actual Revenues (Over)/Under Expenditures-Student Activity Fund",7962.00,0.00,0.00
01,"Atlantic",0125,"Atlantic Co Special Serv",840,"'","Total Grants and Entitlements",209524.00,161282.00,59000.00
01,"Atlantic",0125,"Atlantic Co Special Serv",1000,"'","Total Revenues/Sources",16896761.00,17828075.00,19172060.00
01,"Atlantic",0125,"Atlantic Co Special Serv",1010,"'","Total Revenues/Sources Net of Transfers",16896761.00,17828075.00,19172060.00
01,"Atlantic",0570,"Brigantine City",100,"'10-1210","Local Tax Levy-Base Budget",15888114.00,15888114.00,15888114.00
01,"Atlantic",0570,"Brigantine City",114,"'10-121x","Total Tax Levy",15888114.00,15888114.00,15888114.00
01,"Atlantic",0570,"Brigantine City",190,"'10-1300","Total Tuition",98275.00,0.00,0.00
01,"Atlantic",0570,"Brigantine City",300,"'10-1XXX","Unrestricted Miscellaneous Revenues",459143.00,5000.00,5000.00
01,"Atlantic",0570,"Brigantine City",320,"'10-1XXX","Interest Earned On Current Expense Emergency Reserve",0.00,50.00,50.00
01,"Atlantic",0570,"Brigantine City",330,"'10-1XXX","Interest Earned on Maintenance Reserve",0.00,50.00,50.00
01,"Atlantic",0570,"Brigantine City",340,"'10-1XXX","Interest Earned on Capital Reserve Funds",0.00,100.00,100.00
01,"Atlantic",0570,"Brigantine City",350,"'10-1XXX","Other Restricted Miscellaneous Revenues / Paycheck Protection Program (Apssds Only)",21810.00,0.00,0.00
01,"Atlantic",0570,"Brigantine City",370,"'","Total Revenues from Local Sources",16467342.00,15893314.00,15893314.00
01,"Atlantic",0570,"Brigantine City",420,"'10-3121","Categorical Transportation Aid",496944.00,496944.00,286830.00
01,"Atlantic",0570,"Brigantine City",430,"'10-3131","Extraordinary Aid",237045.00,0.00,0.00
01,"Atlantic",0570,"Brigantine City",440,"'10-3132","Categorical Special Education Aid",151325.00,51635.00,415998.00
01,"Atlantic",0570,"Brigantine City",470,"'10-3177","Categorical Security Aid",196809.00,196809.00,87282.00
01,"Atlantic",0570,"Brigantine City",500,"'10-3XXX","Other State Aids",21385.00,44861.00,0.00
01,"Atlantic",0570,"Brigantine City",520,"'","Total Revenues from State Sources",1103508.00,790249.00,790110.00
01,"Atlantic",0570,"Brigantine City",580,"'10-303","Budgeted Fund Balance-Operating Budget",0.00,1142467.00,1103146.00
01,"Atlantic",0570,"Brigantine City",600,"'10-307","Withdrawal from Capital Reserve for Local Share",0.00,500150.00,0.00
