"county_id","county_name","district_id","district_name","line_desc","year_1","year_2","year_3","year_4","year_5"
01,"Atlantic",0570,"Brigantine City","Employee Benefits as a percentage of salaries","35.17%","38.52%","44.04%","43.48%","46.91%"
01,"Atlantic",0590,"Buena Regional","Total Budgetary Comparative Per Pupil Cost",19169,18909,20464,22693,21061
01,"Atlantic",0590,"Buena Regional","Total Classroom Instruction",10969,10914,11373,12572,11900
01,"Atlantic",0590,"Buena Regional","Classroom-Salaries and Benefits",10400,10141,10786,11908,11188
01,"Atlantic",0590,"Buena Regional","Classroom-General Supplies and Textbooks",112,126,165,183,148
01,"Atlantic",0590,"Buena Regional","Classroom-Purchased Services",457,647,422,481,564
01,"Atlantic",0590,"Buena Regional","Total Support Services",2856,3026,3478,3937,3311
01,"Atlantic",0590,"Buena Regional","Support Services-Salaries and Benefits",2267,2240,2583,2964,2428
01,"Atlantic",0590,"Buena Regional","Total Administrative Costs",2153,2003,1946,2095,2093
01,"Atlantic",0590,"Buena Regional","Administration Salaries and Benefits",1627,1538,1468,1546,1596
01,"Atlantic",0590,"Buena Regional","Total Operations and Maintenance of Plant",2575,2389,2884,3194,2847
01,"Atlantic",0590,"Buena Regional","Operations and Maintenance-Salaries and Benefits",1047,926,1025,1083,1097
01,"Atlantic",0590,"Buena Regional","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0590,"Buena Regional","Total Extracurricular Costs",616,567,767,876,892
01,"Atlantic",0590,"Buena Regional","Total Equipment Costs",299,56,86,96,56
01,"Atlantic",0590,"Buena Regional","Legal Costs",39,50,46,56,48
01,"Atlantic",0590,"Buena Regional","Employee Benefits as a percentage of salaries","31.80%","32.32%","35.91%","33.18%","35.38%"
01,"Atlantic",1300,"Egg Harbor City","Total Budgetary Comparative Per Pupil Cost",16258,17223,22137,22479,24471
01,"Atlantic",1300,"Egg Harbor City","Total Classroom Instruction",9875,10652,13286,13351,14711
01,"Atlantic",1300,"Egg Harbor City","Classroom-Salaries and Benefits",9319,9994,12307,12275,13366
01,"Atlantic",1300,"Egg Harbor City","Classroom-General Supplies and Textbooks",442,405,724,711,881
01,"Atlantic",1300,"Egg Harbor City","Classroom-Purchased Services",113,252,255,365,464
01,"Atlantic",1300,"Egg Harbor City","Total Support Services",2646,2359,3342,3373,4035
01,"Atlantic",1300,"Egg Harbor City","Support Services-Salaries and Benefits",2401,2086,2895,2917,3392
01,"Atlantic",1300,"Egg Harbor City","Total Administrative Costs",1680,1866,2008,2248,2246
01,"Atlantic",1300,"Egg Harbor City","Administration Salaries and Benefits",1417,1524,1596,1822,1758
01,"Atlantic",1300,"Egg Harbor City","Total Operations and Maintenance of Plant",1867,2131,3232,3225,3155
01,"Atlantic",1300,"Egg Harbor City","Operations and Maintenance-Salaries and Benefits",719,957,1088,1099,1060
01,"Atlantic",1300,"Egg Harbor City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1300,"Egg Harbor City","Total Extracurricular Costs",190,216,270,282,312
01,"Atlantic",1300,"Egg Harbor City","Total Equipment Costs",92,237,281,296,545
01,"Atlantic",1300,"Egg Harbor City","Legal Costs",0,6,9,7,9
01,"Atlantic",1300,"Egg Harbor City","Employee Benefits as a percentage of salaries","36.66%","37.53%","40.08%","39.92%","40.62%"
01,"Atlantic",1310,"Egg Harbor Twp","Total Budgetary Comparative Per Pupil Cost",18291,19980,21287,21542,22714
01,"Atlantic",1310,"Egg Harbor Twp","Total Classroom Instruction",11154,12020,12703,12724,13375
01,"Atlantic",1310,"Egg Harbor Twp","Classroom-Salaries and Benefits",10399,11198,11842,11868,12436
01,"Atlantic",1310,"Egg Harbor Twp","Classroom-General Supplies and Textbooks",281,263,349,340,345
01,"Atlantic",1310,"Egg Harbor Twp","Classroom-Purchased Services",474,559,512,516,594
01,"Atlantic",1310,"Egg Harbor Twp","Total Support Services",3273,3618,3982,4082,4304
01,"Atlantic",1310,"Egg Harbor Twp","Support Services-Salaries and Benefits",2914,3164,3416,3444,3665
01,"Atlantic",1310,"Egg Harbor Twp","Total Administrative Costs",1322,1424,1465,1619,1604
01,"Atlantic",1310,"Egg Harbor Twp","Administration Salaries and Benefits",1122,1212,1233,1353,1336
01,"Atlantic",1310,"Egg Harbor Twp","Total Operations and Maintenance of Plant",2149,2472,2624,2628,2923
01,"Atlantic",1310,"Egg Harbor Twp","Operations and Maintenance-Salaries and Benefits",1282,1436,1516,1492,1539
01,"Atlantic",1310,"Egg Harbor Twp","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1310,"Egg Harbor Twp","Total Extracurricular Costs",225,245,278,274,263
01,"Atlantic",1310,"Egg Harbor Twp","Total Equipment Costs",16,128,88,132,53
01,"Atlantic",1310,"Egg Harbor Twp","Legal Costs",31,22,34,21,30
01,"Atlantic",1310,"Egg Harbor Twp","Employee Benefits as a percentage of salaries","34.53%","38.08%","38.49%","38.41%","40.64%"
01,"Atlantic",1410,"Estell Manor City","Total Budgetary Comparative Per Pupil Cost",17611,176,20984,20293,19669
01,"Atlantic",1410,"Estell Manor City","Total Classroom Instruction",11395,95,11722,11204,10751
01,"Atlantic",1410,"Estell Manor City","Classroom-Salaries and Benefits",10932,87,11049,10366,10178
01,"Atlantic",1410,"Estell Manor City","Classroom-General Supplies and Textbooks",410,2,493,521,270
01,"Atlantic",1410,"Estell Manor City","Classroom-Purchased Services",53,5,179,316,303
01,"Atlantic",1410,"Estell Manor City","Total Support Services",2419,28,3620,3574,3665
01,"Atlantic",1410,"Estell Manor City","Support Services-Salaries and Benefits",1656,23,2702,2534,2517
01,"Atlantic",1410,"Estell Manor City","Total Administrative Costs",1752,21,2341,2282,2158
01,"Atlantic",1410,"Estell Manor City","Administration Salaries and Benefits",1374,16,1938,1818,1835
01,"Atlantic",1410,"Estell Manor City","Total Operations and Maintenance of Plant",2022,30,2909,2872,2742
01,"Atlantic",1410,"Estell Manor City","Operations and Maintenance-Salaries and Benefits",924,16,1155,1134,1016
01,"Atlantic",1410,"Estell Manor City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1410,"Estell Manor City","Total Extracurricular Costs",17,1,251,236,225
01,"Atlantic",1410,"Estell Manor City","Total Equipment Costs",14,0,0,0,0
01,"Atlantic",1410,"Estell Manor City","Legal Costs",57,0,72,69,47
01,"Atlantic",1410,"Estell Manor City","Employee Benefits as a percentage of salaries","29.81%","31.98%","38.06%","34.86%","37.48%"
01,"Atlantic",1540,"Folsom Boro","Total Budgetary Comparative Per Pupil Cost",16180,17024,19755,19518,19034
01,"Atlantic",1540,"Folsom Boro","Total Classroom Instruction",9902,10269,11620,11279,11229
01,"Atlantic",1540,"Folsom Boro","Classroom-Salaries and Benefits",9414,9653,10529,10336,10706
01,"Atlantic",1540,"Folsom Boro","Classroom-General Supplies and Textbooks",245,305,583,492,220
01,"Atlantic",1540,"Folsom Boro","Classroom-Purchased Services",243,311,508,452,303
01,"Atlantic",1540,"Folsom Boro","Total Support Services",2963,2796,3550,3589,3388
01,"Atlantic",1540,"Folsom Boro","Support Services-Salaries and Benefits",2564,2532,3156,3217,3067
01,"Atlantic",1540,"Folsom Boro","Total Administrative Costs",1615,1956,2189,2308,2041
01,"Atlantic",1540,"Folsom Boro","Administration Salaries and Benefits",1261,1542,1627,1609,1555
01,"Atlantic",1540,"Folsom Boro","Total Operations and Maintenance of Plant",1555,1834,1845,1801,1795
01,"Atlantic",1540,"Folsom Boro","Operations and Maintenance-Salaries and Benefits",751,895,818,750,709
01,"Atlantic",1540,"Folsom Boro","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1540,"Folsom Boro","Total Extracurricular Costs",138,160,189,185,224
01,"Atlantic",1540,"Folsom Boro","Total Equipment Costs",0,0,0,0,0
01,"Atlantic",1540,"Folsom Boro","Legal Costs",77,27,82,80,76
01,"Atlantic",1540,"Folsom Boro","Employee Benefits as a percentage of salaries","29.43%","31.89%","32.75%","32.46%","36.65%"
01,"Atlantic",1690,"Galloway Twp","Total Budgetary Comparative Per Pupil Cost",19221,19477,20776,20792,21755
01,"Atlantic",1690,"Galloway Twp","Total Classroom Instruction",12702,12524,13497,13347,14081
01,"Atlantic",1690,"Galloway Twp","Classroom-Salaries and Benefits",12456,12248,13223,13052,13826
01,"Atlantic",1690,"Galloway Twp","Classroom-General Supplies and Textbooks",181,212,207,226,183
01,"Atlantic",1690,"Galloway Twp","Classroom-Purchased Services",66,65,67,69,71
01,"Atlantic",1690,"Galloway Twp","Total Support Services",2912,2950,3192,3154,3356
01,"Atlantic",1690,"Galloway Twp","Support Services-Salaries and Benefits",2553,2477,2707,2662,2848
01,"Atlantic",1690,"Galloway Twp","Total Administrative Costs",1657,1696,1901,2067,1971
01,"Atlantic",1690,"Galloway Twp","Administration Salaries and Benefits",1447,1458,1571,1735,1624
01,"Atlantic",1690,"Galloway Twp","Total Operations and Maintenance of Plant",1898,2255,2114,2152,2270
01,"Atlantic",1690,"Galloway Twp","Operations and Maintenance-Salaries and Benefits",1017,1028,1067,1053,1049
01,"Atlantic",1690,"Galloway Twp","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1690,"Galloway Twp","Total Extracurricular Costs",39,38,56,55,59
01,"Atlantic",1690,"Galloway Twp","Total Equipment Costs",3,6,6,29,3
01,"Atlantic",1690,"Galloway Twp","Legal Costs",24,20,24,24,24
01,"Atlantic",1690,"Galloway Twp","Employee Benefits as a percentage of salaries","35.69%","38.22%","45.24%","43.73%","46.20%"
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Budgetary Comparative Per Pupil Cost",20257,21101,21586,21878,22660
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Classroom Instruction",11121,11472,12135,12119,12659
01,"Atlantic",1790,"Greater Egg Harbor Reg","Classroom-Salaries and Benefits",9864,10121,10379,10350,10790
01,"Atlantic",1790,"Greater Egg Harbor Reg","Classroom-General Supplies and Textbooks",334,352,459,457,509
01,"Atlantic",1790,"Greater Egg Harbor Reg","Classroom-Purchased Services",923,999,1297,1311,1360
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Support Services",2487,2627,2718,2721,2795
01,"Atlantic",1790,"Greater Egg Harbor Reg","Support Services-Salaries and Benefits",2343,2405,2412,2442,2493
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Administrative Costs",2090,2122,2146,2288,2288
01,"Atlantic",1790,"Greater Egg Harbor Reg","Administration Salaries and Benefits",1406,1488,1517,1527,1583
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Operations and Maintenance of Plant",3256,3541,3339,3479,3507
01,"Atlantic",1790,"Greater Egg Harbor Reg","Operations and Maintenance-Salaries and Benefits",1537,1633,1820,1808,1847
01,"Atlantic",1790,"Greater Egg Harbor Reg","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Extracurricular Costs",1279,1312,1214,1239,1376
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Equipment Costs",50,16,0,44,0
01,"Atlantic",1790,"Greater Egg Harbor Reg","Legal Costs",51,31,41,42,37
01,"Atlantic",1790,"Greater Egg Harbor Reg","Employee Benefits as a percentage of salaries","30.59%","31.93%","31.77%","29.95%","31.46%"
01,"Atlantic",1940,"Hamilton Twp","Total Budgetary Comparative Per Pupil Cost",15711,17209,18386,19081,20285
01,"Atlantic",1940,"Hamilton Twp","Total Classroom Instruction",9416,10570,10776,11048,12133
01,"Atlantic",1940,"Hamilton Twp","Classroom-Salaries and Benefits",9042,9798,10274,10474,11704
01,"Atlantic",1940,"Hamilton Twp","Classroom-General Supplies and Textbooks",309,683,358,408,241
01,"Atlantic",1940,"Hamilton Twp","Classroom-Purchased Services",65,89,143,166,188
01,"Atlantic",1940,"Hamilton Twp","Total Support Services",3204,3073,3763,3882,4103
01,"Atlantic",1940,"Hamilton Twp","Support Services-Salaries and Benefits",2731,2807,2653,3151,3514
01,"Atlantic",1940,"Hamilton Twp","Total Administrative Costs",1411,1506,1669,1895,1877
01,"Atlantic",1940,"Hamilton Twp","Administration Salaries and Benefits",1173,1213,1353,1511,1535
01,"Atlantic",1940,"Hamilton Twp","Total Operations and Maintenance of Plant",1602,1990,2040,2116,2021
01,"Atlantic",1940,"Hamilton Twp","Operations and Maintenance-Salaries and Benefits",764,817,912,940,978
01,"Atlantic",1940,"Hamilton Twp","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1940,"Hamilton Twp","Total Extracurricular Costs",72,61,103,105,110
01,"Atlantic",1940,"Hamilton Twp","Total Equipment Costs",259,195,472,780,0
01,"Atlantic",1940,"Hamilton Twp","Legal Costs",20,17,31,32,21
01,"Atlantic",1940,"Hamilton Twp","Employee Benefits as a percentage of salaries","28.62%","30.62%","30.41%","28.51%","34.80%"
01,"Atlantic",1960,"Hammonton Town","Total Budgetary Comparative Per Pupil Cost",14526,15493,17899,17692,18560
01,"Atlantic",1960,"Hammonton Town","Total Classroom Instruction",8591,9212,10656,10458,11261
01,"Atlantic",1960,"Hammonton Town","Classroom-Salaries and Benefits",8244,8727,9662,9776,10587
01,"Atlantic",1960,"Hammonton Town","Classroom-General Supplies and Textbooks",254,345,769,490,520
01,"Atlantic",1960,"Hammonton Town","Classroom-Purchased Services",93,139,225,191,155
01,"Atlantic",1960,"Hammonton Town","Total Support Services",2338,2477,2894,2849,2941
01,"Atlantic",1960,"Hammonton Town","Support Services-Salaries and Benefits",2135,2276,2496,2464,2691
01,"Atlantic",1960,"Hammonton Town","Total Administrative Costs",1441,1485,1686,1705,1629
01,"Atlantic",1960,"Hammonton Town","Administration Salaries and Benefits",1142,1184,1307,1313,1281
01,"Atlantic",1960,"Hammonton Town","Total Operations and Maintenance of Plant",1636,1713,1988,1990,1996
01,"Atlantic",1960,"Hammonton Town","Operations and Maintenance-Salaries and Benefits",763,843,943,955,1048
01,"Atlantic",1960,"Hammonton Town","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1960,"Hammonton Town","Total Extracurricular Costs",397,472,530,529,555
01,"Atlantic",1960,"Hammonton Town","Total Equipment Costs",119,205,81,265,233
01,"Atlantic",1960,"Hammonton Town","Legal Costs",39,34,60,59,43
01,"Atlantic",1960,"Hammonton Town","Employee Benefits as a percentage of salaries","25.67%","26.03%","27.00%","28.96%","30.04%"
01,"Atlantic",2680,"Linwood City","Total Budgetary Comparative Per Pupil Cost",16881,17848,20617,20540,20926
01,"Atlantic",2680,"Linwood City","Total Classroom Instruction",9686,10743,11935,11862,12038
01,"Atlantic",2680,"Linwood City","Classroom-Salaries and Benefits",9316,10267,11395,11341,11486
01,"Atlantic",2680,"Linwood City","Classroom-General Supplies and Textbooks",229,308,360,346,370
01,"Atlantic",2680,"Linwood City","Classroom-Purchased Services",141,167,180,175,182
01,"Atlantic",2680,"Linwood City","Total Support Services",3019,3020,3807,3776,3931
01,"Atlantic",2680,"Linwood City","Support Services-Salaries and Benefits",2543,2686,3418,3442,3515
01,"Atlantic",2680,"Linwood City","Total Administrative Costs",1912,1987,2261,2253,2253
01,"Atlantic",2680,"Linwood City","Administration Salaries and Benefits",1389,1489,1621,1613,1607
01,"Atlantic",2680,"Linwood City","Total Operations and Maintenance of Plant",2085,1955,2410,2446,2499
01,"Atlantic",2680,"Linwood City","Operations and Maintenance-Salaries and Benefits",915,983,1065,1085,1082
01,"Atlantic",2680,"Linwood City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",2680,"Linwood City","Total Extracurricular Costs",178,143,201,200,203
01,"Atlantic",2680,"Linwood City","Total Equipment Costs",167,5,52,56,123
01,"Atlantic",2680,"Linwood City","Legal Costs",67,60,95,63,94
01,"Atlantic",2680,"Linwood City","Employee Benefits as a percentage of salaries","33.25%","36.02%","40.04%","39.40%","38.76%"
01,"Atlantic",2910,"Mainland Regional","Total Budgetary Comparative Per Pupil Cost",22115,22340,24136,23680,24381
01,"Atlantic",2910,"Mainland Regional","Total Classroom Instruction",12039,12317,11829,11307,11404
01,"Atlantic",2910,"Mainland Regional","Classroom-Salaries and Benefits",11714,11809,11413,10874,11085
01,"Atlantic",2910,"Mainland Regional","Classroom-General Supplies and Textbooks",321,477,394,391,280
01,"Atlantic",2910,"Mainland Regional","Classroom-Purchased Services",4,32,22,42,39
01,"Atlantic",2910,"Mainland Regional","Total Support Services",3491,3465,4632,4838,4752
01,"Atlantic",2910,"Mainland Regional","Support Services-Salaries and Benefits",3124,3250,4274,4015,3936
01,"Atlantic",2910,"Mainland Regional","Total Administrative Costs",1425,1700,1781,1857,1856
01,"Atlantic",2910,"Mainland Regional","Administration Salaries and Benefits",1179,1432,1399,1350,1347
01,"Atlantic",2910,"Mainland Regional","Total Operations and Maintenance of Plant",3435,3338,4099,3958,4635
01,"Atlantic",2910,"Mainland Regional","Operations and Maintenance-Salaries and Benefits",1531,1627,1743,1637,1760
01,"Atlantic",2910,"Mainland Regional","Board Contribution to Food Services",0,0,135,130,44
01,"Atlantic",2910,"Mainland Regional","Total Extracurricular Costs",1408,1374,1478,1412,1510
01,"Atlantic",2910,"Mainland Regional","Total Equipment Costs",342,173,0,29,0
01,"Atlantic",2910,"Mainland Regional","Legal Costs",30,19,36,34,35
01,"Atlantic",2910,"Mainland Regional","Employee Benefits as a percentage of salaries","29.43%","30.48%","31.94%","32.55%","32.88%"
01,"Atlantic",3020,"Margate City","Total Budgetary Comparative Per Pupil Cost",30759,33087,37213,35984,38160
01,"Atlantic",3020,"Margate City","Total Classroom Instruction",19844,20670,21702,21250,22232
01,"Atlantic",3020,"Margate City","Classroom-Salaries and Benefits",19043,19793,20734,20309,21280
01,"Atlantic",3020,"Margate City","Classroom-General Supplies and Textbooks",778,856,900,874,838
01,"Atlantic",3020,"Margate City","Classroom-Purchased Services",23,20,69,67,114
01,"Atlantic",3020,"Margate City","Total Support Services",4275,4963,5776,5562,6075
01,"Atlantic",3020,"Margate City","Support Services-Salaries and Benefits",3411,3916,4526,4359,4490
01,"Atlantic",3020,"Margate City","Total Administrative Costs",2236,2352,2569,2570,2495
01,"Atlantic",3020,"Margate City","Administration Salaries and Benefits",1804,1898,1967,1936,1771
01,"Atlantic",3020,"Margate City","Total Operations and Maintenance of Plant",3888,4594,6208,5672,6512
01,"Atlantic",3020,"Margate City","Operations and Maintenance-Salaries and Benefits",1952,2368,3181,2768,2463
01,"Atlantic",3020,"Margate City","Board Contribution to Food Services",89,101,125,122,119
01,"Atlantic",3020,"Margate City","Total Extracurricular Costs",385,346,740,718,630
01,"Atlantic",3020,"Margate City","Total Equipment Costs",511,646,14,48,367
01,"Atlantic",3020,"Margate City","Legal Costs",105,86,78,76,90
01,"Atlantic",3020,"Margate City","Employee Benefits as a percentage of salaries","26.01%","29.30%","35.24%","34.92%","36.24%"
01,"Atlantic",3480,"Mullica Twp","Total Budgetary Comparative Per Pupil Cost",16889,18075,20208,19909,21184
01,"Atlantic",3480,"Mullica Twp","Total Classroom Instruction",9433,9929,10955,10637,11968
01,"Atlantic",3480,"Mullica Twp","Classroom-Salaries and Benefits",9167,9662,10245,9930,10434
01,"Atlantic",3480,"Mullica Twp","Classroom-General Supplies and Textbooks",184,227,601,605,1235
01,"Atlantic",3480,"Mullica Twp","Classroom-Purchased Services",82,40,109,102,300
01,"Atlantic",3480,"Mullica Twp","Total Support Services",3426,3761,4445,4393,4440
01,"Atlantic",3480,"Mullica Twp","Support Services-Salaries and Benefits",2797,3269,3871,3791,3828
01,"Atlantic",3480,"Mullica Twp","Total Administrative Costs",2104,2286,2419,2530,2525
01,"Atlantic",3480,"Mullica Twp","Administration Salaries and Benefits",1642,1783,1759,1873,1889
01,"Atlantic",3480,"Mullica Twp","Total Operations and Maintenance of Plant",1780,1946,2204,2170,2091
01,"Atlantic",3480,"Mullica Twp","Operations and Maintenance-Salaries and Benefits",857,939,980,972,961
01,"Atlantic",3480,"Mullica Twp","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",3480,"Mullica Twp","Total Extracurricular Costs",146,152,185,180,161
